name,geoid,geometry
"Moses Lake, WA",34180,"list(list(c(-120.007074, -120.004704, -119.918915, -119.918746, -119.875822, -119.87576, -119.533618, -119.532889, -119.405196, -119.341767, -119.298843, -119.298649, -119.255783, -119.21241, -119.212225, -119.125904, -119.103873, -118.982234, -118.973504, -118.976921, -118.979777, -118.982652, -119.368662, -119.369429, -119.369165, -119.449926, -119.516582, -119.625522, -119.711057, -119.822426, -119.874042, -119.94644, -119.973036, -119.927537, -119.964943, -119.965804, -120.001122, -120.011165, 
-120.042866, -120.002065, -120.007074, 47.220133, 47.319994, 47.364475, 47.393449, 47.408305, 47.437492, 47.441205, 47.527756, 47.612636, 47.612388, 47.670403, 47.728328, 47.742514, 47.800695, 47.887708, 47.917301, 47.961763, 47.962025, 47.943414, 47.645362, 47.261709, 46.911344, 46.912562, 46.737695, 46.678179, 46.686241, 46.727638, 46.644669, 46.648818, 46.62608, 46.628283, 46.675935, 46.737126, 46.817092, 46.858804, 46.943283, 46.993641, 47.039353, 47.073453, 47.126153, 47.220133)))"
"Frankfort, KY",23180,"list(list(c(-84.870482, -84.793228, -84.740594, -84.725168, -84.864804, -84.82693, -84.837199, -84.796327, -84.883748, -84.933085, -84.973351, -85.02231, -85.088441, -85.125098, -85.152797, -85.167834, -85.126452, -85.083463, -85.022346, -85.00748, -84.998898, -84.956959, -84.906256, -84.870482, 38.356751, 38.338505, 38.352415, 38.195426, 38.141373, 38.060456, 38.007835, 37.970088, 37.939893, 37.954186, 37.935511, 37.886479, 37.887646, 37.916145, 37.897661, 37.971809, 38.020292, 38.041053, 38.12821, 
38.17578, 38.274979, 38.332271, 38.374836, 38.356751)))"
"Morgan City, LA",34020,"list(list(c(-91.8550291, -91.711149, -91.624709, -91.471951, -91.410455, -91.373642, -91.386491, -91.352348, -91.298584, -91.180909, -91.134117, -91.10001, -91.105347, -91.082602, -91.163698, -91.183695, -91.260661, -91.273662, -91.2577872, -91.276094, -91.329624, -91.353096, -91.320424, -91.357613, -91.460963, -91.517274, -91.554571, -91.626113, -91.616843, -91.627896, -91.77288, -91.853987, -91.8550291, 29.7388193, 29.846065, 29.945275, 29.955989, 29.90096, 29.834401, 29.783681, 29.766552, 29.764966, 
29.728548, 29.724073, 29.699402, 29.645497, 29.626368, 29.59272, 29.608005, 29.54451, 29.479433, 29.4443439, 29.409336, 29.426615, 29.454731, 29.478316, 29.512991, 29.469961, 29.52974, 29.635775, 29.62875, 29.719718, 29.741079, 29.74562, 29.707618, 29.7388193)))"
"New Ulm, MN",35580,"list(list(c(-94.78063, -94.70702, -94.686676, -94.491686, -94.411245, -94.371731, -94.36885, -95.100221, -95.10748, -94.866259, -94.865824, -94.78063, 44.45665, 44.434323, 44.40885, 44.352254, 44.273168, 44.264448, 44.108698, 44.108034, 44.281768, 44.282372, 44.498218, 44.45665)))"
"Natchez, MS-LA",35020,"list(list(c(-91.636942, -91.664385, -91.723804, -91.703787, -91.719004, -91.677302, -91.70815, -91.811001, -91.862168, -91.8633, -91.845019, -91.86413, -91.828759, -91.810297, -91.73866, -91.731417, -91.798754, -91.779725, -91.813026, -91.826926, -91.806261, -91.775836, -91.737189, -91.705948, -91.712959, -91.694469, -91.635822, -91.602122, -91.544791, -91.3178614, -91.298186, -91.23329, -91.153841, -91.156795, -91.172231, -91.225389, -91.30358, -91.423795, -91.468435, -91.478799, -91.530126, -91.57567, 
-91.589046, -91.625994, -91.567648, -91.564397, -91.636942, 30.999416, 31.044794, 31.044254, 31.103566, 31.134616, 31.188047, 31.208923, 31.237087, 31.302314, 31.354448, 31.375916, 31.466167, 31.497215, 31.443284, 31.431552, 31.465781, 31.473354, 31.530973, 31.554872, 31.591671, 31.63104, 31.648626, 31.614088, 31.642863, 31.680113, 31.735286, 31.729119, 31.761764, 31.751731, 31.7497914, 31.672757, 31.62941, 31.630488, 31.368666, 31.345689, 31.37194, 31.360975, 31.315346, 31.31957, 31.238999, 31.214842, 
31.224475, 31.178586, 31.116896, 31.070186, 31.038965, 30.999416)))"
"Clearlake, CA",17340,"list(list(c(-122.885352, -122.735639, -122.732601, -122.741719, -122.775252, -122.758114, -122.691361, -122.573442, -122.515331, -122.474541, -122.500909, -122.483879, -122.43729, -122.409214, -122.340172, -122.403941, -122.422048, -122.395056, -122.373488, -122.46389, -122.627396, -122.646569, -122.691835, -122.746198, -122.821592, -122.911386, -122.948865, -122.977712, -122.98664, -123.028035, -123.056212, -123.065114, -123.093013, -123.077812, -123.045811, -123.01271, -123.019711, -123.075114, 
-123.063181, -123.025236, -122.936697, -122.89031, -122.885352, 39.580108, 39.580668, 39.450754, 39.358899, 39.312563, 39.28538, 39.247431, 39.204288, 39.209215, 39.144699, 39.121075, 39.066955, 39.021357, 38.963001, 38.924246, 38.925289, 38.90089, 38.864245, 38.817, 38.705203, 38.667506, 38.706177, 38.710946, 38.799248, 38.85014, 38.901529, 38.90022, 38.946693, 38.997283, 38.996593, 39.021096, 39.064393, 39.071994, 39.173791, 39.173492, 39.236188, 39.321785, 39.407683, 39.503539, 39.518709, 39.516396, 
39.529014, 39.580108)))"
"Heber, UT",25720,"list(list(c(-111.593942, -111.553266, -111.489265, -111.47166, -111.389635, -111.375481, -111.326719, -111.265338, -111.147216, -111.12087, -111.079106, -111.031169, -110.975761, -110.933525, -110.901974, -110.902928, -110.896592, -110.89627, -110.891655, -111.082455, -111.083061, -111.118422, -111.205772, -111.249227, -111.221413, -111.225507, -111.273449, -111.264821, -111.307893, -111.377156, -111.428728, -111.437906, -111.480337, -111.555235, -111.593223, -111.620437, -111.578639, -111.567725, 
-111.593942, 40.577066, 40.609313, 40.599438, 40.645006, 40.677838, 40.633116, 40.62312, 40.587251, 40.549602, 40.590457, 40.594551, 40.575962, 40.593143, 40.680336, 40.678162, 40.431211, 40.431183, 40.082384, 39.899654, 39.900155, 39.943198, 39.943484, 40.047368, 40.055595, 40.12503, 40.167324, 40.221994, 40.242367, 40.283904, 40.297487, 40.28776, 40.321772, 40.362169, 40.362696, 40.431131, 40.455018, 40.481985, 40.547211, 40.577066)))"
"Jefferson, GA",27600,"list(list(c(-83.817682, -83.620115, -83.561521, -83.480361, -83.402428, -83.363835, -83.357051, -83.382301, -83.374879, -83.498243, -83.537385, -83.563184, -83.65654, -83.751381, -83.790512, -83.817682, 34.127493, 34.295276, 34.252712, 34.262038, 34.197499, 34.164059, 34.116199, 34.066874, 34.032946, 33.987529, 33.965912, 34.031684, 34.052792, 34.064201, 34.086628, 34.127493)))"
"Bremerton-Silverdale, WA",14740,"list(list(c(-122.550877, -122.801199, -122.801012, -123.016163, -122.965118, -122.917103, -122.830829, -122.751444, -122.740159, -122.684085, -122.573098, -122.513986, -122.488491, -122.55396, -122.504604, -122.518277, -122.49824, -122.543118, -122.546611, -122.494882, -122.532303, -122.550877, 47.4034357, 47.403578, 47.520406, 47.5206304, 47.585245, 47.620743, 47.639243, 47.670302, 47.736228, 47.798574, 47.874081, 47.880807, 47.743605, 47.726003, 47.699136, 47.65132, 47.598242, 47.556326, 47.52355, 
47.510265, 47.46921, 47.4034357)))"
"Shelton, WA",43220,"list(list(c(-123.016163, -122.801012, -122.801199, -122.8010559, -122.854359, -122.868382, -122.8392435, -122.8588944, -122.911341, -123.002435, -123.060583, -123.075096, -123.201891, -123.488943, -123.490805, -123.505021, -123.505917, -123.505917, -123.367025, -122.9818937, -123.1032968, -123.14749, -123.030266, -122.983919, -122.911426, -122.888371, -123.056886, -123.120234, -123.016163, 47.5206304, 47.520406, 47.403578, 47.3586111, 47.309586, 47.251376, 47.2096985, 47.1676407, 47.175956, 47.151302, 
47.114025, 47.084795, 47.085059, 47.082646, 47.258208, 47.258535, 47.517716, 47.604615, 47.607458, 47.6066914, 47.4618989, 47.375232, 47.350949, 47.374615, 47.389099, 47.424006, 47.368499, 47.39149, 47.5206304)))"
"El Dorado, AR",20980,"list(list(c(-92.978469, -92.794181, -92.76134, -92.656869, -92.591442, -92.532381, -92.526615, -92.477738, -92.422757, -92.350432, -92.32646, -92.279581, -92.246723, -92.2245, -92.136684, -92.113205, -92.137669, -92.109611, -92.069105, -92.7247428, -92.9887078, -92.978469, 33.37728, 33.372733, 33.38435, 33.357856, 33.37329, 33.353388, 33.320944, 33.326703, 33.273022, 33.298941, 33.262836, 33.268321, 33.250633, 33.212307, 33.160527, 33.132055, 33.100902, 33.034054, 33.008163, 33.014347, 33.0172979, 
33.37728)))"
"Dumas, TX",20300,"list(list(c(-101.623466, -101.622831, -101.6228, -102.162752, -102.162809, -102.163015, -101.623466, 36.055405, 35.624057, 35.620196, 35.620035, 35.627515, 36.055249, 36.055405)))"
"Laredo, TX",29700,"list(list(c(-100.2121367, -100.113719, -99.874736, -99.394177, -99.388946, -98.96627, -98.803325, -98.802282, -98.798087, -98.954669, -99.33361, -99.370621, -99.4537957, -99.48791, -99.504397, -99.487521, -99.495104, -99.479251, -99.52832, -99.511119, -99.539722, -99.603533, -99.638929, -99.668942, -99.721519, -99.77074, -99.801651, -99.813086, -99.8773367, -99.876003, -99.901486, -99.893456, -99.938541, -99.931812, -99.991447, -100.017914, -100.053123, -100.083393, -100.16059, -100.2121367, 28.1968375, 
28.197819, 28.199818, 28.204627, 28.030419, 28.051402, 28.05748, 27.792957, 27.268012, 27.269397, 27.273223, 27.319174, 27.2650556, 27.260721, 27.339896, 27.412396, 27.451518, 27.478635, 27.498896, 27.564494, 27.603281, 27.641992, 27.626758, 27.659974, 27.666155, 27.732134, 27.741771, 27.773952, 27.7992124, 27.837968, 27.864162, 27.899208, 27.954059, 27.980967, 27.99456, 28.064787, 28.08473, 28.144035, 28.16816, 28.1968375)))"
"Mount Airy, NC",34340,"list(list(c(-80.4401, -80.452322, -80.466728, -80.531801, -80.550065, -80.616181, -80.65329, -80.684583, -80.808357, -80.873205, -80.868746, -80.967153, -80.973643, -80.927048, -80.9016648, -80.704831, -80.4401, 36.55063, 36.241419, 36.25982, 36.258016, 36.285074, 36.280361, 36.252635, 36.268751, 36.254341, 36.236305, 36.326447, 36.40202, 36.453474, 36.5011, 36.5617485, 36.562319, 36.55063)))"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,"list(list(c(-78.31408, -78.164229, -78.072969, -78.067883, -78.0331866, -78.018113, -77.943241, -77.847481, -77.825171, -77.795631, -77.78611, -77.75309, -77.755789, -77.677164, -77.616156, -77.623008, -77.597704, -77.570182, -77.530357, -77.469145, -77.4594271, -77.217024, -77.29977, -77.200125, -77.106839, -77.14717, -77.158185, -77.186804, -77.130587, -77.082104, -77.00942, -76.997319, -76.948579, -76.884358, -76.84159, -76.83739, -76.747649, -76.698459, -76.690533, -76.669515, -76.71439, -76.699271, 
-76.623079, -76.615902, -76.5292166, -76.532398, -76.511278, -76.515706, -76.492699, -76.388348, -76.387002, -76.419221, -76.4719983, -76.491157, -76.534075, -76.608373, -76.654345, -76.665949, -76.710844, -76.774639, -76.820222, -76.871129, -76.8478701, -76.858718, -76.834803, -76.864292, -76.920932, -76.930264, -76.9753258, -77.016371, -77.091073, -77.207312, -77.250172, -77.27422, -77.237724, -77.169671, -77.240604, -77.26083, -77.310334, -77.326291, -77.2870968, -77.321454, -77.345102, -77.326692, 
-77.370297, -77.626219, -77.687469, -77.778514, -77.836217, -77.953639, -77.72676, -77.702843, -77.771186, -77.787766, -77.908979, -77.923654, -78.053824, -78.113142, -78.096083, -78.129422, -78.338176, -78.315581, -78.331705, -78.296375, -78.394704, -78.33437, -78.300414, -78.334796, -78.31408, 39.007994, 39.017904, 39.178311, 39.211836, 39.2646218, 39.293537, 39.380925, 39.448236, 39.493105, 39.489623, 39.447197, 39.423262, 39.333899, 39.324534, 39.468371, 39.499898, 39.540781, 39.619998, 39.63169, 
39.720018, 39.7200171, 39.719998, 39.612284, 39.578588, 39.491661, 39.419005, 39.373451, 39.338203, 39.268412, 39.260033, 39.206732, 39.166471, 39.129597, 39.126964, 39.105861, 39.07015, 39.033418, 38.983783, 38.924763, 38.904426, 38.780761, 38.75341, 38.767278, 38.720804, 38.7136467, 38.678363, 38.615745, 38.528988, 38.482849, 38.387781, 38.361267, 38.322916, 38.3250136, 38.361246, 38.397766, 38.424445, 38.465174, 38.494389, 38.509411, 38.508994, 38.435055, 38.390096, 38.3554445, 38.324825, 38.274012, 
38.268945, 38.291568, 38.323091, 38.3472188, 38.445572, 38.407546, 38.359867, 38.382781, 38.48177, 38.55187, 38.60687, 38.638917, 38.56533, 38.493926, 38.443598, 38.3488001, 38.345242, 38.261468, 38.245136, 38.246576, 38.003429, 38.007806, 38.058737, 38.101139, 38.118501, 38.323612, 38.36084, 38.39303, 38.376618, 38.381503, 38.364109, 38.317705, 38.35335, 38.404343, 38.440629, 38.627312, 38.651564, 38.702642, 38.783839, 38.82279, 38.88144, 38.943592, 38.951794, 39.007994)))"
"Chicago-Naperville-Elgin, IL-IN-WI",16980,"list(list(c(-88.939732, -88.705585, -88.70738, -88.304692, -88.305891, -88.188173, -88.188306, -87.8058559, -87.817125, -87.811811, -87.798071, -87.805362, -87.834769, -87.7959, -87.736162, -87.682359, -87.6117449, -87.616251, -87.57286, -87.531061, -87.529018, -87.42984, -87.362865, -87.278437, -87.120322, -86.9327203, -86.92987, -86.930079, -86.930759, -86.987438, -86.986438, -87.099793, -87.09839, -87.5260482, -87.5263438, -87.5267289, -88.013919, -88.01181, -88.244144, -88.251501, -88.58624, 
-88.588474, -88.60224, -88.938618, -88.941279, -88.939732, 42.15232, 42.153537, 42.493587, 42.4947727, 42.610817, 42.611456, 42.669709, 42.667889, 42.635452, 42.520564, 42.471721, 42.3848647, 42.301522, 42.201352, 42.120811, 42.075729, 41.8905852, 41.868933, 41.779343, 41.748068, 41.715376, 41.646035, 41.628686, 41.619736, 41.645701, 41.7095241, 41.536056, 41.236798, 40.912418, 40.912177, 40.837921, 40.837607, 40.736541, 40.7368851, 41.0103386, 41.298052, 41.292447, 41.205508, 41.201566, 41.114218, 
41.108293, 41.267953, 41.631389, 41.628319, 41.891752, 42.15232)))"
"Bowling Green, KY",14540,"list(list(c(-86.899268, -86.853405, -86.818836, -86.759533, -86.612095, -86.487152, -86.469126, -86.157589, -86.049133, -86.056443, -86.074267, -86.113512, -86.16674, -86.078016, -86.030735, -85.97691, -85.949403, -85.9729214, -86.4113861, -86.413845, -86.400518, -86.583289, -86.674462, -86.84535, -86.941391, -86.897252, -86.926882, -86.899268, 37.212313, 37.250495, 37.305283, 37.304099, 37.395123, 37.362501, 37.321099, 37.335649, 37.215285, 37.167208, 37.053285, 37.061072, 36.934015, 36.8547, 36.764383, 
36.722722, 36.661645, 36.6285203, 36.6505962, 36.723077, 36.807226, 36.830282, 36.999766, 37.056513, 37.068981, 37.09169, 37.16027, 37.212313)))"
"Deltona-Daytona Beach-Ormond Beach, FL",19660,"list(list(c(-81.680903, -81.450892, -81.476293, -81.490694, -81.520467, -81.52366, -81.324059, -81.262635, -81.2128953, -81.163581, -81.046678, -80.966176, -80.878275, -80.7329248, -80.967895, -80.964466, -80.98725, -81.016646, -81.06111, -81.067413, -81.10575, -81.137863, -81.177576, -81.225678, -81.320473, -81.360668, -81.354682, -81.460484, -81.502055, -81.532576, -81.560905, -81.610252, -81.641916, -81.680903, 29.32443, 29.378464, 29.396152, 29.454151, 29.496513, 29.622432, 29.62561, 29.666203, 
29.6707143, 29.55529, 29.307856, 29.14796, 29.010563, 28.7912446, 28.790197, 28.612992, 28.612997, 28.693037, 28.750001, 28.812989, 28.828541, 28.791294, 28.78587, 28.832453, 28.83453, 28.872459, 28.984807, 29.078259, 29.097802, 29.177615, 29.20019, 29.202565, 29.276766, 29.32443)))"
"Burlington-South Burlington, VT",15540,"list(list(c(-73.343124, -72.845633, -72.58988, -72.5543599, -72.535709, -72.532648, -72.578161, -72.612102, -72.74736, -72.783056, -72.795505, -72.851068, -72.910572, -72.829073, -72.803567, -72.838638, -72.804995, -72.911398, -72.89598, -72.952167, -72.973318, -73.270378, -73.313422, -73.333575, -73.296031, -73.306707, -73.33863, -73.38982, -73.365977, -73.365561, -73.335443, -73.381359, -73.338482, -73.343124, 45.01084, 45.016659, 45.013237, 45.0082746, 44.925777, 44.833512, 44.781578, 44.801587, 
44.78617, 44.740291, 44.6922, 44.71107, 44.630855, 44.552273, 44.506172, 44.459229, 44.451676, 44.281769, 44.276284, 44.161271, 44.29342, 44.260106, 44.2641991, 44.372288, 44.428339, 44.500334, 44.546844, 44.61721, 44.697559, 44.741786, 44.804602, 44.845021, 44.924112, 45.01084)))"
"Parkersburg-Vienna, WV",37620,"list(list(c(-81.7558151, -81.7255835, -81.691339, -81.678331, -81.570247, -81.557547, -81.456143, -81.406689, -81.3712707, -81.323297, -81.267256, -81.267996, -81.324047, -81.261001, -81.250252, -81.207741, -81.167037, -81.27269, -81.278412, -81.343911, -81.448148, -81.51293, -81.54939, -81.532248, -81.7472527, -81.7558151, 39.1805242, 39.2158352, 39.227947, 39.273755, 39.267675, 39.338774, 39.409274, 39.38809, 39.3420616, 39.301424, 39.295731, 39.259979, 39.142568, 39.103097, 39.035074, 39.044651, 
39.027133, 38.936338, 38.914867, 38.895633, 38.941645, 38.918788, 38.967425, 39.005818, 39.0953784, 39.1805242)))"
"Riverside-San Bernardino-Ontario, CA",40140,"list(list(c(-117.667292, -117.632011, -117.63088, -117.630126, -117.63381, -117.616195, -117.634251, -117.632996, -117.368423, -116.919415, -116.281825, -115.735891, -115.735745, -115.6480203, -115.406079, -114.942216, -114.633487, -114.630682, -114.586842, -114.552682, -114.47162, -114.436363, -114.380838, -114.386699, -114.342615, -114.264317, -114.226107, -114.176909, -114.138282, -114.131211, -114.166536, -114.254141, -114.287294, -114.324576, -114.415908, -114.434181, -114.438266, -114.533679, 
-114.503017, -114.529597, -114.496489, -114.523959, -114.522071, -114.540617, -114.524599, -114.558898, -114.622918, -114.627125, -115.063197, -115.467506, -116.085165, -116.197591, -116.518401, -117.030861, -117.241271, -117.242167, -117.370925, -117.364272, -117.509722, -117.51021, -117.413899, -117.474573, -117.533999, -117.536448, -117.580789, -117.680289, -117.793578, -117.802539, -117.76769, -117.730125, -117.677405, -117.646374, -117.667034, -117.667292, 34.822526, 34.82227, 35.097604, 35.564071, 
35.650972, 35.680856, 35.709927, 35.797251, 35.795169, 35.795389, 35.793438, 35.79362, 35.809097, 35.8096294, 35.618613, 35.249994, 35.001857, 34.866352, 34.835672, 34.766871, 34.712966, 34.596797, 34.529724, 34.457911, 34.451442, 34.401329, 34.365916, 34.349306, 34.30323, 34.26273, 34.249647, 34.173831, 34.170529, 34.136759, 34.107636, 34.087379, 34.022609, 33.926072, 33.867998, 33.848063, 33.696901, 33.685879, 33.611277, 33.591412, 33.552231, 33.531819, 33.456561, 33.433554, 33.428103, 33.426992, 
33.425932, 33.428893, 33.426887, 33.426931, 33.431993, 33.449015, 33.490549, 33.505025, 33.505019, 33.533999, 33.657653, 33.703811, 33.710355, 33.757665, 33.769477, 33.877412, 33.95379, 33.975551, 34.023506, 34.021371, 34.166103, 34.28917, 34.558008, 34.822526)))"
"Ellensburg, WA",21260,"list(list(c(-121.113569, -121.07523, -120.996578, -120.930632, -120.924183, -120.782186, -120.664448, -120.578971, -120.515329, -120.389197, -120.09446, -120.077594, -120.007074, -120.002065, -120.042866, -120.011165, -120.001122, -119.965804, -119.964943, -119.927537, -119.973036, -120.51, -120.508605, -120.633981, -120.634562, -121.02662, -121.090054, -121.280716, -121.311259, -121.379682, -121.408081, -121.364677, -121.297819, -121.341203, -121.432837, -121.440121, -121.427448, -121.37912, -121.303135, 
-121.285534, -121.17225, -121.113569, 47.597288, 47.551101, 47.518545, 47.457744, 47.433516, 47.399407, 47.34334, 47.337381, 47.320148, 47.260935, 47.262159, 47.226981, 47.220133, 47.126153, 47.073453, 47.039353, 46.993641, 46.943283, 46.858804, 46.817092, 46.737126, 46.737946, 46.824862, 46.825776, 46.91213, 46.911308, 46.991007, 47.088731, 47.076915, 47.087495, 47.1181, 47.141759, 47.148851, 47.281261, 47.29417, 47.374898, 47.420617, 47.454411, 47.486023, 47.517034, 47.590054, 47.597288)))"
"Athens, TN",11940,"list(list(c(-84.619865, -84.547603, -84.52585, -84.522373, -84.52271, -84.409226, -84.410525, -84.45344, -84.495529, -84.51613, -84.667398, -84.716138, -84.782567, -84.860164, -84.814543, -84.724879, -84.619865, 35.644651, 35.641327, 35.624186, 35.618625, 35.607783, 35.398378, 35.330573, 35.319027, 35.285472, 35.266472, 35.268041, 35.261773, 35.313536, 35.350074, 35.43697, 35.521364, 35.644651)))"
"Kinston, NC",28820,"list(list(c(-77.806248, -77.697516, -77.679281, -77.637571, -77.475515, -77.433057, -77.391026, -77.431319, -77.433512, -77.473692, -77.527182, -77.507463, -77.601282, -77.731026, -77.746037, -77.749572, -77.769177, -77.834249, -77.82418, -77.806248, 35.368754, 35.377097, 35.347515, 35.354328, 35.426655, 35.368051, 35.339533, 35.329781, 35.249634, 35.228985, 35.243001, 35.172814, 35.071368, 35.008138, 35.02234, 35.10861, 35.145576, 35.177846, 35.343811, 35.368754)))"
"Blytheville, AR",14180,"list(list(c(-89.959377, -89.733095, -89.714565, -89.644838, -89.66599, -89.714934, -89.765689, -89.764343, -89.709261, -89.706085, -89.781793, -89.814456, -89.872845, -89.905538, -89.950278, -89.955753, -89.931036, -89.886979, -89.910687, -89.956749, -89.9097873, -89.957715, -89.989363, -90.039744, -90.048519, -90.018842, -90.031584, -90.074082, -90.067798, -90.107723, -90.1401796, -90.286899, -90.286707, -90.288947, -89.959377, 35.99902, 36.000608, 35.963034, 35.904351, 35.882868, 35.906247, 35.891299, 
35.858313, 35.838911, 35.81826, 35.805084, 35.759941, 35.741299, 35.759063, 35.738493, 35.690621, 35.660044, 35.653637, 35.617536, 35.590511, 35.5378394, 35.527192, 35.560043, 35.548041, 35.504357, 35.464816, 35.427662, 35.433983, 35.466224, 35.476935, 35.4364835, 35.438573, 35.816185, 35.9964181, 35.99902)))"
"Campbellsville, KY",15820,"list(list(c(-85.583497, -85.528855, -85.502771, -85.46625, -85.355364, -85.246195, -85.169565, -85.1288, -85.077245, -85.131162, -85.131241, -85.192179, -85.272446, -85.314663, -85.352771, -85.478081, -85.584477, -85.583497, 37.469917, 37.454067, 37.482303, 37.465595, 37.470974, 37.420361, 37.464004, 37.453261, 37.411881, 37.384265, 37.365062, 37.272584, 37.260032, 37.24074, 37.192432, 37.363673, 37.432091, 37.469917)))"
"Huntsville, TX",26660,"list(list(c(-94.95811, -94.954605, -94.909258, -94.883524, -94.897578, -94.864456, -94.842947, -94.939245, -95.20018, -95.230989, -95.230777, -95.252385, -95.312898, -95.32748, -95.359156, -95.361866, -95.598878, -95.83024, -95.863059, -95.784532, -95.713053, -95.629597, -95.616956, -95.155277, -94.95811, 31.38693, 31.342315, 31.336804, 31.287207, 31.257834, 31.23214, 31.146578, 31.041981, 30.824566, 30.841149, 30.887007, 30.906719, 30.897873, 30.859547, 30.504369, 30.508916, 30.50898, 30.630284, 
30.864125, 30.879307, 30.910273, 30.900084, 30.931083, 31.250182, 31.38693)))"
"Pensacola-Ferry Pass-Brent, FL",37860,"list(list(c(-87.598928, -87.140755, -86.7856925, -86.8002553, -86.953, -87.155392, -87.270896, -87.314392, -87.518324, -87.504701, -87.464878, -87.429578, -87.371169, -87.435578, -87.446586, -87.418647, -87.393588, -87.406958, -87.532607, -87.552051, -87.600486, -87.634938, -87.589187, -87.598928, 30.997457, 30.999532, 30.9969742, 30.3871415, 30.365364, 30.327748, 30.31675, 30.321469, 30.280435, 30.324039, 30.3333, 30.406498, 30.43049, 30.480496, 30.527068, 30.561837, 30.63088, 30.675165, 30.743489, 
30.786254, 30.820627, 30.865886, 30.964464, 30.997457)))"
"Rapid City, SD",39660,"list(list(c(-104.0546615, -103.452453, -103.453016, -103.574396, -103.569417, -103.567653, -102.964125, -102.95865, -102.958779, -102.634547, -101.999994, -102.000437, -102.000964, -102.00723, -102.007336, -102.019147, -102.018887, -102.052435, -102.117559, -102.175231, -102.809398, -102.813752, -102.9025, -102.932566, -103.001017, -103.000913, -103.584936, -104.0547982, -104.055462, -104.0546615, 44.1410807, 44.140772, 44.256609, 44.256077, 44.344246, 44.604098, 44.604287, 44.690617, 45.039564, 
45.038626, 45.038274, 44.689998, 44.343832, 44.343785, 43.99453, 43.994492, 43.708618, 43.689234, 43.709381, 43.687756, 43.68756, 43.667592, 43.674888, 43.618706, 43.605816, 43.476848, 43.477672, 43.477815, 43.845884, 44.1410807)))"
"Helena-West Helena, AR",25760,"list(list(c(-90.5834403, -90.587224, -90.545891, -90.569347, -90.589921, -90.566505, -90.613944, -90.678603, -90.756197, -90.765174, -90.740889, -90.765165, -90.832407, -90.847808, -90.907082, -90.93268, -90.887884, -90.816572, -90.822593, -90.86458, -90.91001, -90.955974, -90.9550037, -91.117905, -91.083661, -91.094277, -91.070451, -91.063056, -91.077663, -91.053395, -91.002693, -91.000459, -91.054774, -91.051918, -90.5834403, 34.6413893, 34.615732, 34.563257, 34.524867, 34.484793, 34.429528, 34.390723, 
34.371122, 34.367256, 34.342818, 34.306538, 34.280524, 34.267491, 34.20653, 34.244492, 34.214824, 34.18198, 34.183023, 34.144054, 34.140555, 34.165508, 34.120125, 34.1189731, 34.119105, 34.145806, 34.187126, 34.201384, 34.254213, 34.283322, 34.331235, 34.336353, 34.469398, 34.47088, 34.645721, 34.6413893)))"
"Clarksville, TN-KY",17300,"list(list(c(-87.680617, -87.521609, -87.485184, -87.374672, -87.333741, -87.312806, -87.259371, -87.3359795, -87.114976, -87.129755, -87.116147, -87.128677, -87.1794, -87.249988, -87.286501, -87.327204, -87.513533, -87.586957, -87.64115, -87.853204, -87.849567, -88.070532, -88.110831, -88.157347, -88.002697, -87.890669, -87.858088, -87.764868, -87.711005, -87.680617, 37.149239, 37.105344, 37.126905, 37.133679, 37.157186, 37.113704, 37.072401, 36.6415427, 36.642414, 36.572283, 36.539212, 36.46195, 
36.406611, 36.37792, 36.321933, 36.31593, 36.334713, 36.34178, 36.638036, 36.633247, 36.663701, 36.678118, 36.74715, 36.867183, 36.910168, 36.960144, 36.950714, 36.974737, 37.021528, 37.149239)))"
"Greeneville, TN",24620,"list(list(c(-83.166085, -83.139484, -83.082312, -82.991883, -82.937183, -82.840081, -82.814981, -82.702566, -82.629641, -82.647769, -82.5772, -82.602877, -82.632265, -82.683565, -82.785267, -82.787465, -82.826045, -82.852554, -82.8984629, -82.954104, -83.097832, -83.130182, -83.172285, -83.166085, 36.180894, 36.188893, 36.242296, 36.288397, 36.334797, 36.370598, 36.363899, 36.410412, 36.41154, 36.146404, 36.078387, 36.039833, 36.065705, 36.046104, 35.987927, 35.952163, 35.929721, 35.949089, 35.9450881, 
35.997399, 36.114045, 36.123196, 36.159395, 36.180894)))"
"Cape Coral-Fort Myers, FL",15980,"list(list(c(-82.0620293, -81.565931, -81.563763, -81.56252, -81.659506, -81.6579, -81.819019, -81.8457753, -81.868983, -81.91171, -82.0128263, -82.010307, -82.069251, -82.100625, -82.137869, -82.181565, -82.173516, -82.084974, -82.0620293, 26.7704391, 26.769552, 26.513324, 26.422619, 26.421077, 26.317563, 26.316245, 26.3303815, 26.378648, 26.427158, 26.4896029, 26.52076, 26.535433, 26.510764, 26.637441, 26.681712, 26.701836, 26.702411, 26.7704391)), list(c(-82.224073, -82.214337, -82.177541, -82.149368, 
-82.088423, -82.098115, -82.172917, -82.205321, -82.224073, 26.602896, 26.602944, 26.502328, 26.477605, 26.455182, 26.424959, 26.467658, 26.567928, 26.602896)), list(c(-82.2716992, -82.2010205, -82.249888, -82.2716992, 26.7895164, 26.7707662, 26.762946, 26.7895164)))"
