name,geoid,geometry
"Hailey, ID",25200,"list(list(c(-114.971351, -114.873372, -114.813873, -114.81379, -114.681168, -114.528447, -114.507778, -114.410002, -114.359293, -114.292484, -114.275725, -114.160124, -114.116996, -114.070019, -114.053458, -114.004151, -113.974222, -113.875329, -113.813355, -113.798441, -113.701153, -113.685263, -113.634325, -113.63523, -113.36191, -113.361958, -113.007318, -113.007712, -113.243478, -113.24372, -113.236943, -113.178877, -113.178633, -113.236841, -113.236968, -113.3044, -113.375062, -113.472177, -113.472155, 
-113.413138, -113.413867, -113.714642, -113.714044, -113.76382, -113.763862, -113.931687, -114.049961, -114.049849, -114.345659, -114.365366, -114.594375, -114.594605, -115.086155, -115.083071, -115.032499, -115.034387, -115.00884, -115.04234, -115.019756, -114.972837, -114.996687, -114.971351, 43.938308, 43.992949, 43.992941, 43.927772, 43.927705, 43.845662, 43.89909, 43.895651, 43.874177, 43.887062, 43.831138, 43.774529, 43.740347, 43.734696, 43.760831, 43.764994, 43.707825, 43.650504, 43.600059, 
43.569217, 43.584553, 43.532314, 43.497474, 43.367546, 43.36716, 43.284678, 43.284778, 43.110933, 43.110946, 42.848207, 42.762212, 42.762355, 42.67546, 42.675308, 42.625254, 42.628749, 42.687832, 42.669352, 42.849201, 42.849169, 43.199859, 43.199783, 42.849734, 42.849823, 42.764508, 42.765026, 42.765006, 42.808444, 42.809055, 42.85079, 42.850901, 43.198345, 43.198064, 43.604399, 43.622031, 43.677735, 43.696912, 43.745582, 43.822956, 43.871617, 43.914407, 43.938308)))"
"Dunn, NC",20380,"list(list(c(-79.183556, -78.96964, -78.914734, -78.69039, -78.660555, -78.535196, -78.538349, -78.581756, -78.617127, -78.794564, -78.898329, -79.095808, -79.151636, -79.165108, -79.223021, -79.183556, 35.307161, 35.521669, 35.583672, 35.51584, 35.496245, 35.345032, 35.31641, 35.298167, 35.245578, 35.266047, 35.23099, 35.192068, 35.213999, 35.240925, 35.268133, 35.307161)))"
"Middlesborough, KY",33180,"list(list(c(-83.589521, -83.513378, -83.48171, -83.511729, -83.485814, -83.500891, -83.459459, -83.4610151, -83.531912, -83.649513, -83.690714, -83.9307608, -83.956234, -83.878615, -83.809166, -83.781212, -83.738146, -83.63076, -83.581094, -83.589521, 36.955786, 36.937404, 36.849134, 36.807362, 36.783293, 36.733254, 36.697387, 36.6648782, 36.664984, 36.616683, 36.582581, 36.5876943, 36.645491, 36.680335, 36.748103, 36.802693, 36.808522, 36.888145, 36.904667, 36.955786)))"
"Safford, AZ",40940,"list(list(c(-110.000649, -109.891759, -109.823462, -109.799782, -109.767273, -109.739636, -109.684772, -109.660619, -109.605359, -109.528184, -109.49544, -109.49574, -109.333425, -109.318149, -109.245005, -109.213829, -109.206249, -109.22607, -109.113987, -109.43202, -109.927385, -110.451503, -110.451218, -110.448457, -110.449021, -110.408594, -110.455083, -110.441544, -110.413069, -110.362977, -110.341191, -110.272256, -110.219647, -110.169691, -110.000646, -110.000649, 33.57693, 33.567829, 33.5275, 
33.488314, 33.475417, 33.510548, 33.543534, 33.583594, 33.611725, 33.622918, 33.652697, 33.078409, 32.843266, 32.842779, 32.741985, 32.680661, 32.635803, 32.529096, 32.426177, 32.427573, 32.427478, 32.427354, 32.513995, 32.771158, 33.194526, 33.192036, 33.282153, 33.38167, 33.401549, 33.398221, 33.426929, 33.442076, 33.436048, 33.465389, 33.465916, 33.57693)))"
"Corsicana, TX",18620,"list(list(c(-96.383082, -96.296572, -96.284595, -96.229373, -96.145345, -96.112675, -96.117827, -96.06601, -96.05478, -96.496713, -96.719114, -96.896209, -96.625266, -96.383082, 32.328851, 32.298154, 32.263643, 32.236182, 32.152814, 32.156784, 32.094977, 32.085812, 32.012526, 31.796191, 31.814887, 32.073977, 32.206583, 32.328851)))"
"Eufaula, AL-GA",21640,"list(list(c(-85.657668, -85.648767, -85.587344, -85.512643, -85.428476, -85.427442, -85.410241, -85.257747, -85.185067, -85.056029, -85.042029, -84.973701, -84.907006, -84.910338, -85.140951, -85.1269541, -85.148434, -85.206409, -85.216076, -85.416038, -85.416437, -85.748251, -85.716146, -85.717911, -85.695602, -85.663629, -85.677672, -85.657668, 31.880275, 31.911615, 31.997355, 32.014055, 32.014951, 32.13935, 32.146651, 32.148251, 32.061708, 32.063055, 31.975658, 31.959299, 31.924465, 31.776841, 
31.7804603, 31.7623303, 31.773468, 31.741057, 31.702409, 31.706664, 31.619466, 31.618048, 31.660505, 31.698032, 31.747834, 31.782358, 31.852244, 31.880275)))"
"Kill Devil Hills, NC",28620,"list(list(c(-75.7517242, -75.641335, -75.597602, -75.5360254, -75.533627, -75.602238, -75.7517242, 35.192586, 35.228687, 35.257028, 35.272779, 35.225825, 35.232636, 35.192586)), list(c(-75.7943606, -75.7733858, -75.718311, -75.658538, -75.569795, -75.6229092, -75.615399, -75.682294, -75.7237808, -75.75134, -75.745873, -75.772375, -75.7943606, 36.2273275, 36.2316695, 36.113674, 36.02043, 35.863301, 35.8923296, 35.926433, 35.995845, 36.003395, 36.126978, 36.144062, 36.217539, 36.2273275)), list(c(-75.726807, 
-75.65954, -75.616833, -75.614361, -75.667891, -75.660598, -75.726807, 35.935844, 35.919564, 35.856331, 35.815659, 35.82354, 35.862541, 35.935844)), list(c(-76.013022, -75.982899, -75.97783, -75.921578, -75.947293, -75.8709476, -75.809351, -75.751962, -75.730246, -75.741179, -75.717173, -75.779683, -75.733811, -75.775329, -75.8371565, -75.8788198, -75.901342, -76.013022, 35.6700638, 35.772561, 35.897181, 35.935921, 35.959835, 35.9785547, 35.959308, 35.878227, 35.805916, 35.769861, 35.693651, 35.684964, 
35.628959, 35.579335, 35.5709053, 35.6031971, 35.668952, 35.6700638)), list(c(-76.405603, -76.353554, -76.380009, -76.27168, -76.173289, -76.062522, -76.014159, -76.0144678, -76.063204, -76.050486, -76.060858, -76.036783, -76.092627, -76.144653, -76.215465, -76.297853, -76.269247, -76.405971, -76.405603, 35.786294, 35.861301, 35.914666, 35.972285, 35.9932564, 35.990749, 35.957202, 35.9210186, 35.853433, 35.806689, 35.716811, 35.6891202, 35.669764, 35.702488, 35.598049, 35.609027, 35.690754, 35.697579, 
35.786294)))"
"Bogalusa, LA",14220,"list(list(c(-90.347241, -90.2595549, -89.7281451, -89.773553, -89.783985, -89.832408, -89.828061, -89.8417869, -89.995757, -90.255648, -90.262767, -90.293345, -90.301169, -90.34671, -90.347241, 31.000359, 31.0006572, 31.0022996, 30.896862, 30.827385, 30.76451, 30.725018, 30.6655565, 30.665416, 30.711905, 30.765864, 30.80649, 30.850788, 30.905427, 31.000359)))"
"Kirksville, MO",28860,"list(list(c(-92.637898, -92.3508067, -92.349897, -92.345064, -92.856191, -92.855629, -92.684167, -92.704564, -92.677562, -92.710795, -92.702249, -92.637898, 40.590853, 40.5972732, 40.302733, 40.03721, 40.037253, 40.342736, 40.343466, 40.474223, 40.495642, 40.557182, 40.580982, 40.590853)))"
"Red Bluff, CA",39780,"list(list(c(-123.065426, -122.976871, -122.921729, -122.877891, -122.854382, -122.749759, -122.650263, -122.519988, -122.445021, -122.309185, -122.251112, -122.190126, -122.00994, -121.901902, -121.877185, -121.806539, -121.734692, -121.685877, -121.64667, -121.497635, -121.479598, -121.470395, -121.381826, -121.345571, -121.361713, -121.436886, -121.452898, -121.510559, -121.586407, -121.595647, -121.636174, -121.646032, -121.701938, -121.746251, -121.750634, -121.804041, -122.044865, -122.06393, 
-122.046471, -122.478638, -122.937654, -122.960088, -122.949997, -122.920524, -122.934013, -122.951671, -122.961088, -122.987239, -122.970064, -122.989015, -123.051047, -123.065426, 40.286971, 40.315145, 40.306709, 40.346825, 40.34305, 40.365344, 40.32863, 40.393675, 40.373398, 40.371155, 40.387194, 40.383426, 40.426767, 40.421031, 40.436907, 40.44495, 40.435638, 40.45313, 40.434966, 40.445591, 40.419505, 40.350213, 40.340513, 40.312667, 40.225581, 40.151905, 40.122125, 40.100515, 40.100522, 40.057714, 
40.02581, 39.982527, 39.984364, 39.938532, 39.906805, 39.884344, 39.883771, 39.810634, 39.797648, 39.799523, 39.798156, 39.845245, 39.90781, 39.916487, 39.978131, 39.998271, 40.099996, 40.145172, 40.186306, 40.250145, 40.267775, 40.286971)))"
